Requirement,Compliance status,Reason
REQ_NO_TCS_NO_TICKOFFS,NOT_TESTED,No requirement tickoffs
REQ_NO_TICKOFF_IN_TC,NOT_TESTED,No requirement tickoffs
REQ_3_MISSING_TCS,NOT_TESTED,No requirement tickoffs
REQ_ANDOR_NONCOMPLIANT,NON_COMPLIANT,TC_FAIL failed
REQ_TICKOFF_FAIL,NON_COMPLIANT,Requirement explicitly failed at tickoff
REQ_COMPOUND_TICKOFF,NOT_TESTED,Sub-req REQ_NOT_TESTED not tested
REQ_COMPOUND_NONCOMPLIANT,NON_COMPLIANT,Sub-req REQ_NONCOMPLIANT failed
REQ_COMPOUND_NOT_TESTED,NOT_TESTED,Sub-req REQ_NOT_TESTED not tested


Sub-requirement,Compliance status,Reason
REQ_NONCOMPLIANT,NON_COMPLIANT,TC_FAIL failed
REQ_NOT_TESTED,NOT_TESTED,Missing tickoff in TC_NOT_RUN
